client_id,product_name,date
1808,тропические фрукты,2024-07-20
2552,цельное молоко,2024-01-05
2300,фрукты с косточками,2024-09-18
1187,другие овощи,2024-12-11
3037,цельное молоко,2024-02-01
4941,булочки,2024-02-14
4501,другие овощи,2024-05-07
3803,комнатные растения,2024-12-22
2762,цельное молоко,2024-03-19
4119,тропические фрукты,2024-02-12
1340,цитрусовые,2024-02-24
2193,говядина,2024-04-13
1997,сосиски,2024-07-20
4546,курица,2024-09-02
4736,масло,2024-07-20
1959,фруктовый/овощной сок,2024-03-29
1974,упакованные фрукты/овощи,2024-05-02
2421,шоколад,2024-09-01
1513,специальный батончик,2024-08-02
1905,другие овощи,2024-07-06
2810,пахта,2024-09-07
2867,цельное молоко,2024-11-11
3962,тропические фрукты,2024-09-17
1088,тропические фрукты,2024-11-29
4976,бутилированная вода,2024-07-16
4056,йогурт,2024-06-11
3611,колбаса,2024-02-13
1420,другие овощи,2024-01-14
4286,черный хлеб,2024-03-07
4918,йогурт,2024-01-27
4783,мясо для гамбургера,2024-10-21
3709,корнеплоды,2024-10-25
4289,свинина,2024-10-07
1559,говядина,2024-10-02
2900,выпечка,2024-04-10
1905,фруктовый/овощной сок,2024-02-21
3527,консервированное пиво,2024-09-28
1495,корнеплоды,2024-01-09
3558,цитрусовые,2024-04-02
3128,колбаса,2024-04-19
1863,тропические фрукты,2024-08-03
3841,ягоды,2024-07-18
3903,консервированное пиво,2024-10-05
2658,пахта,2024-10-15
4272,кофе,2024-06-05
1120,выпечка,2024-09-25
2676,булочки,2024-08-14
1697,напитки,2024-05-20
2507,корнеплоды,2024-08-24
4620,колбаса,2024-03-10
3365,консервированное пиво,2024-02-01
2978,ветчина,2024-06-04
2910,индейка,2024-07-27
1061,цельное молоко,2024-09-04
3276,цельное молоко,2024-04-02
1326,упакованные фрукты/овощи,2024-06-18
3023,булочки,2024-07-27
2185,ветчина,2024-10-10
3552,булочки,2024-06-15
1967,другие овощи,2024-01-20
4708,колбаса,2024-03-19
2874,колбаса,2024-02-15
4177,сосиски,2024-04-12
1663,булочки,2024-02-07
2632,цельное молоко,2024-03-01
1377,творог,2024-03-13
4162,красное/розовое вино,2024-12-21
2270,колбаса,2024-06-30
4829,тропические фрукты,2024-11-02
3811,красное/розовое вино,2024-04-13
4766,цельное молоко,2024-09-28
2436,сосиски,2024-04-11
3860,цельное молоко,2024-05-04
4875,замороженные картофельные продукты,2024-05-11
1587,другие овощи,2024-06-30
4038,цитрусовые,2024-07-07
4750,мука,2024-09-20
1199,сахар,2024-12-09
1603,замороженные блюда,2024-09-29
3111,шоколад,2024-01-31
3894,корнеплоды,2024-12-12
1456,корнеплоды,2024-09-17
2022,травы,2024-03-03
2505,бутилированная вода,2024-11-29
4851,колбаса,2024-12-19
4293,кофе,2024-08-03
2775,свинина,2024-11-05
3693,ягоды,2024-02-18
1202,сода,2024-07-21
3699,ягоды,2024-08-22
4152,фруктовый/овощной сок,2024-04-14
4155,цитрусовые,2024-01-26
4010,свинина,2024-12-28
4389,моющее средство,2024-10-19
3746,виноград,2024-08-16
2560,колбаса,2024-05-16
1503,курица,2024-07-24
2555,цельное молоко,2024-12-22
3645,цитрусовые,2024-12-11
3886,сода,2024-09-10
2932,колбаса,2024-03-19
1711,сосиски,2024-06-17
4291,колбаса,2024-12-07
1143,сода,2024-04-24
4564,булочки,2024-07-07
3337,говядина,2024-05-13
4931,цельное молоко,2024-05-03
2623,плавленый сыр,2024-10-09
4581,тропические фрукты,2024-04-02
2635,сосиски,2024-06-10
1095,упакованные фрукты/овощи,2024-10-29
2990,цельное молоко,2024-05-22
2426,ягоды,2024-06-04
4555,цитрусовые,2024-11-06
3635,тропические фрукты,2024-09-03
3058,мясо для гамбургера,2024-05-17
4391,мясо для гамбургера,2024-03-25
1306,цельное молоко,2024-06-22
1024,рыба,2024-08-09
1295,сосиски,2024-07-22
1661,упакованные фрукты/овощи,2024-05-31
4591,выпечка,2024-05-14
3169,другие овощи,2024-06-13
3915,напитки,2024-05-20
1127,сосиски,2024-01-14
4828,игристое вино,2024-08-07
3683,специальный батончик,2024-06-09
1971,колбаса,2024-09-17
3014,творог,2024-11-10
3779,сосиски,2024-09-14
2489,цельное молоко,2024-05-03
3564,газеты,2024-06-26
4092,ягоды,2024-09-29
3221,творог,2024-01-13
1279,тропические фрукты,2024-09-05
2581,сода,2024-08-21
2295,булочки,2024-02-25
4760,консервированное пиво,2024-02-22
3649,консервированное пиво,2024-01-16
1075,сосиски,2024-11-18
3987,другие овощи,2024-08-18
4106,цельное молоко,2024-08-24
4338,цельное молоко,2024-06-23
4166,цитрусовые,2024-11-05
1211,сосиски,2024-03-09
3954,сосиски,2024-01-21
3928,пахта,2024-07-17
3827,мясо для гамбургера,2024-09-29
4699,паста,2024-02-08
4747,другие овощи,2024-06-07
3028,колбаса,2024-06-08
2851,булочки,2024-03-15
4417,виноград,2024-02-25
3822,корнеплоды,2024-03-06
2288,кофе,2024-05-30
